,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,6.0,4.0,3.0,6.0,3.0,11.0,19.0,45.0,7.0,16.0,12.0,8.0,0.16363636363636364,0.21818181818181817,1
1,2,10.0,7.0,4.0,9.0,0.0,7.0,8.0,43.0,5.0,21.0,13.0,9.0,0.34545454545454546,0.45454545454545453,1
2,3,0.0,14.0,4.0,14.0,0.0,8.0,9.0,38.0,3.0,13.0,15.0,16.0,0.5272727272727272,0.7818181818181817,1
3,4,7.0,12.0,2.0,10.0,4.0,15.0,4.0,52.0,4.0,15.0,14.0,10.0,0.09090909090909091,1.0909090909090908,1
4,5,7.0,10.0,2.0,11.0,2.0,8.0,6.0,51.0,4.0,26.0,12.0,10.0,0.38181818181818183,0.6181818181818182,1
5,6,5.0,7.0,2.0,10.0,2.0,15.0,15.0,44.0,4.0,14.0,11.0,10.0,0.2,0.9636363636363636,1
6,7,5.0,13.0,1.0,10.0,4.0,13.0,6.0,55.0,5.0,17.0,9.0,10.0,0.01818181818181818,0.5636363636363636,1
7,8,3.0,9.0,4.0,10.0,1.0,10.0,11.0,45.0,6.0,17.0,10.0,17.0,0.12727272727272726,0.6545454545454545,1
8,9,6.0,7.0,0.0,13.0,2.0,15.0,17.0,48.0,6.0,18.0,6.0,8.0,0.18181818181818182,0.8545454545454545,1
9,10,3.0,10.0,3.0,10.0,1.0,13.0,10.0,46.0,4.0,13.0,11.0,10.0,0.03636363636363636,0.8181818181818182,1
10,11,7.0,15.0,2.0,5.0,4.0,6.0,11.0,53.0,5.0,22.0,9.0,12.0,0.10909090909090909,0.6181818181818182,1
11,12,6.0,8.0,2.0,8.0,2.0,14.0,10.0,48.0,3.0,19.0,13.0,13.0,0.2727272727272727,0.4727272727272727,1
12,13,2.0,12.0,2.0,7.0,0.0,11.0,15.0,55.0,8.0,21.0,8.0,11.0,0.05454545454545454,0.9818181818181818,1
13,14,7.0,12.0,2.0,10.0,3.0,9.0,6.0,53.0,3.0,21.0,8.0,10.0,0.07272727272727272,0.4727272727272728,1
14,15,9.0,4.0,5.0,11.0,1.0,9.0,11.0,46.0,4.0,21.0,8.0,8.0,0.14545454545454545,0.2909090909090909,1
15,16,8.0,3.0,2.0,6.0,1.0,11.0,13.0,45.0,6.0,18.0,13.0,10.0,0.23636363636363636,0.9454545454545454,1
16,17,10.0,4.0,3.0,14.0,1.0,6.0,8.0,33.0,4.0,16.0,16.0,15.0,0.5636363636363636,1.2,1
17,18,3.0,8.0,5.0,10.0,2.0,11.0,18.0,47.0,3.0,17.0,6.0,11.0,0.21818181818181817,0.509090909090909,1
18,19,6.0,4.0,1.0,13.0,3.0,10.0,7.0,47.0,6.0,24.0,11.0,11.0,0.4,0.6727272727272727,1
19,20,6.0,4.0,0.0,11.0,2.0,10.0,7.0,48.0,9.0,19.0,18.0,9.0,0.2545454545454545,0.34545454545454546,1
20,21,4.0,6.0,2.0,13.0,4.0,4.0,10.0,39.0,4.0,17.0,13.0,16.0,0.43636363636363634,0.6181818181818182,1
21,22,10.0,14.0,2.0,8.0,1.0,8.0,6.0,44.0,4.0,14.0,13.0,16.0,0.32727272727272727,1.2363636363636363,1
22,23,5.0,9.0,1.0,8.0,2.0,15.0,12.0,51.0,4.0,21.0,12.0,10.0,0.2909090909090909,0.7818181818181817,1
23,24,3.0,5.0,2.0,8.0,3.0,13.0,14.0,52.0,6.0,24.0,10.0,10.0,0.3090909090909091,0.32727272727272727,1
24,25,5.0,8.0,1.0,11.0,1.0,10.0,15.0,39.0,5.0,13.0,12.0,14.0,0.36363636363636365,0.4363636363636364,1
25,26,9.0,9.0,5.0,8.0,1.0,8.0,5.0,41.0,4.0,18.0,13.0,17.0,0.45454545454545453,0.9090909090909091,1
26,27,5.0,5.0,6.0,7.0,2.0,5.0,13.0,40.0,3.0,21.0,11.0,17.0,0.4727272727272727,0.6363636363636364,1
27,28,3.0,2.0,1.0,2.0,1.0,1.0,6.0,15.0,5.0,4.0,10.0,9.0,0.6727272727272727,0.8909090909090909,3
28,29,7.0,3.0,2.0,10.0,7.0,2.0,12.0,30.0,7.0,6.0,20.0,15.0,0.6,0.6363636363636364,3
29,30,11.0,4.0,1.0,9.0,1.0,3.0,13.0,25.0,12.0,3.0,24.0,8.0,0.7272727272727273,1.3272727272727272,3
30,31,17.0,4.0,4.0,11.0,2.0,5.0,15.0,23.0,6.0,4.0,15.0,15.0,0.7454545454545455,1.4,3
31,32,10.0,6.0,4.0,5.0,5.0,4.0,17.0,29.0,6.0,5.0,20.0,15.0,0.6545454545454545,1.4545454545454546,3
32,33,12.0,4.0,3.0,12.0,3.0,3.0,10.0,26.0,11.0,1.0,27.0,10.0,0.7636363636363637,1.7272727272727273,3
33,34,13.0,8.0,4.0,9.0,3.0,3.0,11.0,28.0,5.0,5.0,20.0,13.0,0.6181818181818182,1.3636363636363638,3
34,35,15.0,2.0,6.0,8.0,4.0,3.0,11.0,23.0,9.0,4.0,25.0,8.0,0.8181818181818182,1.2000000000000002,3
35,36,11.0,8.0,2.0,6.0,5.0,3.0,14.0,33.0,10.0,2.0,22.0,9.0,0.509090909090909,0.9454545454545453,3
36,37,16.0,1.0,2.0,6.0,3.0,1.0,20.0,17.0,2.0,3.0,19.0,19.0,0.9818181818181818,1.5636363636363635,2
37,38,13.0,5.0,0.0,7.0,4.0,2.0,15.0,27.0,7.0,5.0,28.0,10.0,0.8,1.5272727272727273,3
38,39,12.0,4.0,0.0,10.0,6.0,2.0,13.0,35.0,13.0,7.0,15.0,14.0,0.41818181818181815,1.309090909090909,3
39,40,16.0,2.0,3.0,8.0,8.0,2.0,10.0,25.0,8.0,1.0,25.0,8.0,0.7818181818181819,1.1090909090909091,3
40,41,20.0,3.0,3.0,4.0,3.0,3.0,8.0,21.0,8.0,3.0,32.0,10.0,0.9454545454545454,1.3636363636363635,2
41,42,15.0,2.0,1.0,10.0,4.0,2.0,15.0,19.0,7.0,2.0,28.0,11.0,0.9272727272727272,1.7636363636363637,2
42,43,15.0,2.0,2.0,8.0,2.0,1.0,13.0,22.0,10.0,5.0,24.0,15.0,0.8727272727272727,1.3454545454545455,3
43,44,6.0,5.0,2.0,7.0,4.0,2.0,9.0,37.0,11.0,8.0,27.0,10.0,0.5454545454545454,1.3636363636363638,3
44,45,12.0,3.0,2.0,12.0,1.0,0.0,15.0,14.0,5.0,2.0,30.0,13.0,1.0,1.3636363636363638,2
45,46,11.0,2.0,4.0,7.0,2.0,3.0,13.0,28.0,8.0,5.0,20.0,14.0,0.6363636363636364,1.2545454545454544,3
46,47,20.0,3.0,6.0,13.0,1.0,3.0,10.0,16.0,5.0,2.0,19.0,14.0,0.9636363636363636,1.2727272727272727,2
47,48,18.0,1.0,0.0,10.0,4.0,7.0,17.0,26.0,4.0,7.0,16.0,10.0,0.7090909090909091,1.2727272727272727,3
48,49,13.0,4.0,4.0,6.0,4.0,1.0,13.0,33.0,12.0,4.0,21.0,8.0,0.4909090909090909,1.3636363636363635,3
49,50,14.0,1.0,2.0,7.0,8.0,2.0,14.0,30.0,13.0,3.0,15.0,16.0,0.5818181818181818,1.2727272727272727,3
50,51,11.0,4.0,2.0,7.0,3.0,3.0,10.0,25.0,9.0,2.0,24.0,19.0,0.8545454545454545,1.709090909090909,3
51,52,16.0,5.0,2.0,11.0,2.0,3.0,16.0,23.0,7.0,1.0,21.0,10.0,0.8363636363636363,1.7818181818181817,3
52,53,6.0,0.0,1.0,10.0,2.0,2.0,13.0,22.0,9.0,5.0,25.0,21.0,0.8909090909090909,1.8727272727272726,3
53,54,8.0,5.0,4.0,7.0,3.0,5.0,20.0,29.0,6.0,5.0,24.0,6.0,0.6909090909090909,0.8181818181818181,3
