,time_period,x1,x2,x3,x4,x5,x6,x7,x8,x9,x9b,x9c,x9d,diversity,measurement,cluster
0,1,5.0,10.0,2.0,16.0,2.0,6.0,8.0,52.0,16.0,9.0,9.0,7.0,0.03636363636363636,0.2,3
1,2,7.0,14.0,6.0,22.0,5.0,1.0,9.0,40.0,5.0,6.0,2.0,9.0,0.7636363636363637,0.8,3
2,3,10.0,11.0,4.0,26.0,0.0,5.0,8.0,40.0,14.0,7.0,5.0,7.0,0.7272727272727273,0.8545454545454545,3
3,4,8.0,13.0,1.0,22.0,5.0,5.0,14.0,43.0,5.0,9.0,6.0,6.0,0.5818181818181818,1.0363636363636364,3
4,5,5.0,12.0,2.0,24.0,1.0,2.0,3.0,43.0,12.0,13.0,6.0,9.0,0.7818181818181819,1.3636363636363638,3
5,6,10.0,17.0,3.0,24.0,6.0,0.0,10.0,35.0,4.0,3.0,10.0,6.0,0.9636363636363636,1.9090909090909092,1
6,7,10.0,15.0,4.0,24.0,4.0,3.0,6.0,42.0,6.0,9.0,6.0,8.0,0.6181818181818182,1.5272727272727273,3
7,8,10.0,12.0,3.0,22.0,1.0,2.0,14.0,37.0,10.0,9.0,6.0,8.0,0.8363636363636363,1.309090909090909,3
8,9,3.0,16.0,5.0,22.0,4.0,4.0,11.0,47.0,11.0,5.0,5.0,5.0,0.34545454545454546,1.0363636363636364,3
9,10,11.0,21.0,1.0,13.0,1.0,6.0,11.0,42.0,2.0,10.0,8.0,8.0,0.6909090909090909,1.5090909090909093,1
10,11,5.0,18.0,4.0,26.0,2.0,5.0,8.0,43.0,6.0,8.0,5.0,7.0,0.8,1.290909090909091,3
11,12,8.0,19.0,1.0,33.0,4.0,1.0,9.0,40.0,7.0,6.0,4.0,5.0,0.9818181818181818,1.5818181818181818,1
12,13,11.0,16.0,3.0,19.0,6.0,2.0,6.0,46.0,6.0,9.0,3.0,7.0,0.2909090909090909,0.7999999999999999,3
13,14,6.0,19.0,1.0,24.0,4.0,4.0,9.0,42.0,7.0,6.0,5.0,11.0,0.8181818181818182,1.8,3
14,15,7.0,14.0,4.0,23.0,2.0,1.0,10.0,44.0,12.0,6.0,7.0,4.0,0.4909090909090909,0.6363636363636364,3
15,16,7.0,18.0,1.0,24.0,2.0,4.0,11.0,45.0,12.0,8.0,6.0,5.0,0.5454545454545454,1.418181818181818,3
16,17,4.0,14.0,1.0,20.0,5.0,3.0,12.0,48.0,7.0,11.0,8.0,6.0,0.32727272727272727,0.7090909090909091,3
17,18,7.0,18.0,2.0,13.0,2.0,5.0,12.0,47.0,12.0,4.0,8.0,5.0,0.05454545454545454,0.38181818181818183,3
18,19,10.0,11.0,3.0,21.0,2.0,6.0,6.0,42.0,9.0,12.0,3.0,13.0,0.45454545454545453,0.8,3
19,20,9.0,16.0,1.0,23.0,3.0,2.0,11.0,45.0,11.0,8.0,2.0,9.0,0.6,0.9090909090909091,3
20,21,12.0,20.0,2.0,21.0,2.0,4.0,7.0,45.0,13.0,3.0,5.0,8.0,0.41818181818181815,1.0363636363636364,3
21,22,11.0,15.0,4.0,25.0,3.0,3.0,10.0,39.0,7.0,11.0,4.0,4.0,0.8545454545454545,1.2727272727272727,3
22,23,7.0,10.0,3.0,28.0,1.0,2.0,14.0,29.0,10.0,3.0,5.0,10.0,1.0,1.2727272727272727,1
23,24,8.0,11.0,1.0,24.0,1.0,2.0,9.0,47.0,19.0,10.0,4.0,6.0,0.43636363636363634,0.509090909090909,3
24,25,9.0,16.0,3.0,21.0,3.0,3.0,5.0,51.0,11.0,9.0,5.0,4.0,0.21818181818181817,0.47272727272727266,3
25,26,6.0,17.0,1.0,22.0,7.0,3.0,12.0,53.0,10.0,9.0,2.0,4.0,0.2545454545454545,0.45454545454545453,3
26,27,3.0,15.0,4.0,31.0,5.0,4.0,8.0,46.0,8.0,10.0,4.0,4.0,0.9454545454545454,1.309090909090909,3
